index,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp
QTNT,QTNT,Quotient Limited,2.12,-6.607934,-0.1500001,2.11,2.27,7.59,1.88,216861152.0,2.5072,3.4734,455969.0,711580.0,NASDAQ,2.27,2.27,-1.214,,2022-01-31T13:30:00.000+0000,102292996.0,1638176240
RAMP,RAMP,"LiveRamp Holdings, Inc.",48.18,-3.2141392,-1.5999985,47.54,49.72,87.38,38.5,3280725760.0,51.2324,49.67985,221874.0,423514.0,NYSE,48.19,49.78,-0.499,,2022-02-07T10:59:00.000+0000,68093104.0,1638176240
RBKB,RBKB,"Rhinebeck Bancorp, Inc.",10.88,-0.4574583,-0.05000019,10.88,10.88,13.098,8.201,122909184.0,10.85434,10.607405,3896.0,1744.0,NASDAQ,10.88,10.93,1.01,10.772278,2022-02-01T21:00:00.000+0000,11296800.0,1638176240
RCON,RCON,"Recon Technology, Ltd.",1.91,-2.0512862,-0.04000008,1.79,1.91,17.5,1.17,51564460.0,2.4352,4.64645,534525.0,1510857.0,NASDAQ,1.88,1.95,-0.282,,2021-11-15T08:30:01.000+0000,26997099.0,1638176240
REG1V.HE,REG1V.HE,Revenio Group Oyj,54.1,-1.5468649,-0.8500023,54.05,55.25,72.0,40.0,1437079936.0,56.42,58.728,7010.0,27059.0,HEL,54.4,54.95,0.665,81.35338,2022-02-09T10:59:00.000+0000,26563400.0,1638176240
REGN,REGN,"Regeneron Pharmaceuticals, Inc.",643.35,-0.74516606,-4.830017,639.78,660.95,686.62,441.0,69187788800.0,606.5992,555.8292,575586.0,761606.0,NASDAQ,660.0,648.18,62.526,10.289319,2022-02-03T13:30:00.000+0000,107543000.0,1638176240
RELIW,RELIW,"Reliance Global Group, Inc.",0.4061,-24.796299,-0.13390002,0.4061,0.4061,0.4061,0.4061,,0.0,0.0,1075.0,0.0,NASDAQ,0.3801,0.54,,,,,1638176240
RELL,RELL,"Richardson Electronics, Ltd.",11.06,-5.872337,-0.6899996,11.026,11.36,12.87,4.37,147514960.0,10.9914,8.52045,34820.0,81752.0,NASDAQ,11.3,11.75,0.411,26.909975,2022-01-04T21:00:00.000+0000,13337700.0,1638176240
REYN,REYN,Reynolds Consumer Products Inc.,30.29,-0.03299777,-0.00999832,30.05,30.44,32.19,26.5,6353630720.0,28.343,29.235676,178352.0,377841.0,NASDAQ,30.22,30.3,1.577,19.207355,2021-11-04T07:00:00.000+0000,209760011.0,1638176240
RICE-UN,RICE-UN,Rice Acquisition Corp.,21.54,4.057972,0.84000015,21.54,21.54,22.0,9.91,,19.575228,17.714296,1.0,990.0,NYSE,21.98,20.7,,,,,1638176240
RILYI,RILYI,"B. Riley Financial, Inc. - 6.87",25.64,0.0390177,0.0100002,25.59,25.64,26.14,24.51,,25.753437,25.737795,9210.0,6822.0,NASDAQ,25.59,25.63,,,,,1638176240
ROIVW,ROIVW,Roivant Sciences Ltd.,1.23,-9.558823,-0.13,1.1901,1.33,1.33,1.1901,,0.0,0.0,54425.0,0.0,NASDAQ,1.28,1.36,-4.092,,,,1638176240
ROVR,ROVR,"Rover Group, Inc.",10.6,-5.6099663,-0.62999916,10.135,11.075,15.59,8.605,1859801728.0,12.6816,10.957555,703443.0,515169.0,NASDAQ,11.0,11.23,-2.079,,2022-02-16T21:00:00.000+0000,175452993.0,1638176240
RPHM,RPHM,"Reneo Pharmaceuticals, Inc.",7.03,-8.937819,-0.6899996,7.03,7.5,17.18,6.1,171700016.0,7.4004,9.174233,15482.0,66000.0,NASDAQ,7.41,7.72,-2.826,,2021-11-11T16:05:01.000+0000,24423900.0,1638176240
RPT,RPT,RPT Realty,13.23,-5.0251307,-0.70000076,12.8501,13.405,14.99,7.21,1115152640.0,13.5294,12.7262,511078.0,466023.0,NYSE,13.37,13.93,0.824,16.055824,2022-02-15T10:59:00.000+0000,84289693.0,1638176240
RVMD,RVMD,"Revolution Medicines, Inc.",27.02,-6.408037,-1.8500004,25.83,28.32,56.18,21.777,1991025536.0,29.599,33.7679,386649.0,454514.0,NASDAQ,28.11,28.87,-2.377,,2021-11-10T16:05:05.000+0000,73687103.0,1638176240
SANW,SANW,S&W Seed Company,3.01,-0.98684114,-0.02999997,2.9,3.095,4.6,2.11,116532448.0,3.1598,3.40635,53546.0,168704.0,NASDAQ,3.0,3.04,-0.519,,2022-02-09T21:00:00.000+0000,38715099.0,1638176240
SBET,SBET,SharpLink Gaming Ltd.,2.95,-2.9605236,-0.08999991,2.83,3.0,17.88,2.52,64102912.0,4.0868,5.5391,148813.0,1329034.0,NASDAQ,2.94,3.04,-0.144,,2021-05-06T17:09:00.000+0000,21729801.0,1638176240
SBFM,SBFM,"Sunshine Biopharma, Inc.",0.058,0.17270805,0.0001,0.055,0.059,0.314,0.0111,29889894.0,0.0912896,0.1243131,388867.0,2456017.0,MUTUAL_FUND,0.055,0.0579,-0.032,,,515343000.0,1638176240
SCND,SCND,"Scientific Industries, Inc.",5.85,0.0,0.0,5.85,5.85,14.5,4.85,37780120.0,6.3064,9.03895,2356.0,5758.0,MUTUAL_FUND,5.7775,5.85,-1.132,,2022-02-21T13:30:00.000+0000,6458140.0,1638176240
SCYYF,SCYYF,Scandium International Mining Corp.,0.1356,1.1185648,0.0015,0.134,0.1538,0.28,0.11,42886616.0,0.145,0.16215,13500.0,31868.0,MUTUAL_FUND,0.1375,0.1341,-0.007,,2021-11-05T10:59:00.000+0000,316272979.0,1638176240
SDACW,SDACW,Sustainable Development Acquisition I Corp.,0.7199,-2.7162158,-0.0201,0.7,0.7199,0.7199,0.7,,0.0,0.0,1303.0,0.0,NASDAQ,0.661,0.74,,,,,1638176240
SEAV,SEAV,SEATech Ventures Corp.,1.19,1.7094103,0.0200001,1.19,1.2,2.6,0.689,110098688.0,1.4797,1.909325,270.0,5530.0,MUTUAL_FUND,1.2,1.17,-0.001,,,92519906.0,1638176240
SENR,SENR,"Strategic Environmental & Energy Resources, Inc.",0.16,-20.000004,-0.04000001,0.16,0.205,0.58,0.02,10414176.0,0.231,0.30285,13700.0,12668.0,MUTUAL_FUND,0.205,0.2,-0.003,,2021-11-15T10:59:00.000+0000,65088600.0,1638176240
SGEN,SGEN,Seagen Inc.,169.5,-2.136257,-3.699997,169.1,178.89,202.6,133.2,30994092032.0,173.562,156.5277,735621.0,751711.0,NASDAQ,176.63,173.2,-1.838,,2022-02-09T21:00:00.000+0000,182856000.0,1638176240
SHAC,SHAC,SCP & CO Healthcare Acquisition Company,9.77,0.10246136,0.01000023,9.75,9.78,9.87,9.401,280887520.0,9.7518,9.712611,110365.0,20109.0,NASDAQ,9.75,9.76,,,2021-03-31T10:59:00.000+0000,28750002.0,1638176240
SHPW,SHPW,"Shapeways Holdings, Inc.",4.85,3.1914916,0.1500001,4.56,4.96,12.81,4.36,234238016.0,7.6557,9.45556,149148.0,444322.0,NYSE,4.66,4.7,-0.544,,2021-11-15T21:00:00.000+0000,48296498.0,1638176240
SIEVI.HE,SIEVI.HE,Sievi Capital Plc,1.864,0.215051,0.00399995,1.828,1.904,2.65,1.04,108259064.0,2.02716,1.66056,58170.0,224606.0,HEL,1.858,1.86,0.396,4.707071,2022-02-22T10:59:00.000+0000,58078897.0,1638176240
SILK,SILK,"Silk Road Medical, Inc",43.33,-5.0613446,-2.3099976,42.54,45.905,67.49,42.52,1512061056.0,55.0864,52.47215,221414.0,278304.0,NASDAQ,44.99,45.64,-1.507,,2021-11-09T16:05:02.000+0000,34896401.0,1638176240
SKX,SKX,"Skechers U.S.A., Inc.",46.0,-3.7052553,-1.7700005,45.76,46.75,55.87,32.96,7168685568.0,45.2322,46.21205,827107.0,1478946.0,NYSE,46.0,47.77,2.521,18.246729,2022-02-02T10:59:00.000+0000,155840991.0,1638176240
SLGG,SLGG,"Super League Gaming, Inc.",3.22,-6.3953495,-0.22000003,3.02,3.345,11.2,1.78,115206128.0,3.3391,4.640725,573732.0,693233.0,NASDAQ,3.32,3.44,-0.748,,2021-11-15T16:05:03.000+0000,35778301.0,1638176240
SLQT,SLQT,"SelectQuote, Inc.",9.28,-2.3157923,-0.22000027,8.88,9.39,33.0,7.72,1521530240.0,12.3946,19.78255,1350442.0,2859012.0,NYSE,9.1,9.5,0.504,18.412697,2022-02-07T21:00:00.000+0000,163958000.0,1638176240
SMMT,SMMT,Summit Therapeutics Inc.,5.16,-4.9723754,-0.26999998,5.13,5.36,12.301,4.38,504206304.0,5.289,6.46435,55167.0,153974.0,NASDAQ,5.36,5.43,-0.867,,2021-11-15T08:30:01.000+0000,97714400.0,1638176240
SNNF,SNNF,Seneca Financial Corp.,11.8,2.1645021,0.25,11.8,11.8,13.2,7.5,22572928.0,10.3248,10.2319,9861.0,1492.0,MUTUAL_FUND,11.8,11.55,0.942,12.52654,,1912960.0,1638176240
SNRHU,SNRHU,Senior Connect Acquisition Corp. I,10.16,0.0,0.0,10.16,10.16,11.16,9.81,,10.0998,10.166545,239.0,3873.0,NASDAQ,10.16,10.16,,,,,1638176240
SOFI,SOFI,"SoFi Technologies, Inc.",18.21,-0.65466905,-0.12000084,17.8,18.32,28.26,11.8,14561261568.0,19.2974,17.99465,13253059.0,27586722.0,NASDAQ,17.875,18.33,-1.769,,2021-11-10T16:10:00.000+0000,799629960.0,1638176240
SOHON,SOHON,Sotherly Hotels Inc.,14.48,-0.4811041,-0.07000065,13.96,14.48,22.99,10.9,63489296.0,14.88582,17.81729,3947.0,4147.0,NASDAQ,14.21,14.55,-2.026,,,4384620.0,1638176240
SPTKW,SPTKW,SportsTek Acquisition Corp.,0.6709,-4.157143,-0.0291,0.6611,0.68,0.68,0.6611,,0.0,0.0,21705.0,0.0,NASDAQ,0.7011,0.7,,,,,1638176240
SPWR,SPWR,SunPower Corporation,28.47,-5.163228,-1.5500011,28.17,30.2,57.52,19.75,4924968448.0,28.027,27.2404,1728412.0,3595869.0,NASDAQ,29.41,30.02,2.032,14.010826,2022-02-15T16:05:00.000+0000,172988003.0,1638176240
SRRA,SRRA,"Sierra Oncology, Inc.",22.73,-1.173915,-0.27000046,22.73,23.4,23.945,13.32,342200128.0,21.7542,19.118296,7185.0,43053.0,NASDAQ,23.4,23.0,-7.157,,2021-11-05T07:00:00.000+0000,15054999.0,1638176240
SSAA,SSAA,Science Strategic Acquisition Corp. Alpha,9.795,-0.55837876,-0.05500031,9.76,9.795,10.2,9.6,380168448.0,9.7703,9.75352,854.0,19474.0,NASDAQ,9.76,9.85,,,,38812501.0,1638176240
SSFN,SSFN,,0.01,233.33,0.007,0.01,0.01,3000.003,0.003,,0.00894444,0.04127941,,0.0,,0.01,0.003,,,,,1638176240
SSOK,SSOK,"Sunstock, Inc.",0.32,3.2258034,0.00999999,0.32,0.32,10.0,0.012,1320444.0,0.4654226,1.82274,206.0,2049.0,MUTUAL_FUND,0.32,0.31,-0.588,,2021-04-19T12:30:00.000+0000,4126388.0,1638176240
SSTK,SSTK,"Shutterstock, Inc.",112.39,-1.25637,-1.4300003,109.9,112.575,128.36,62.21,4107764480.0,119.1368,101.97575,133852.0,210579.0,NYSE,110.84,113.82,2.704,41.56435,2022-02-09T13:30:00.000+0000,36549199.0,1638176240
ST,ST,Sensata Technologies Holding plc,57.59,-5.7755218,-3.5299988,57.02,59.93,64.8,48.29,9126459392.0,57.561,58.22105,546224.0,830965.0,NYSE,59.21,61.12,2.347,24.537708,2022-01-31T06:00:00.000+0000,158472988.0,1638176240
STAF,STAF,"Staffing 360 Solutions, Inc.",1.2,-5.511806,-0.06999993,1.17,1.27,8.52,1.17,20699040.0,1.7892,3.3058,557647.0,507615.0,NASDAQ,1.25,1.27,0.508,2.3622048,2021-11-15T16:46:34.000+0000,17249200.0,1638176240
STNL,STNL,,,0.0,,,,,,,,,,,,,,,,,,1638176240
STWOW,STWOW,ACON S2 Acquisition Corp.,1.0,-3.8461502,-0.03999996,0.9901,1.23,1.23,0.9901,,0.0,0.0,140036.0,0.0,NASDAQ,1.28,1.04,,,,,1638176240
STZ,STZ,"Constellation Brands, Inc.",229.32,-1.3677387,-3.1799927,227.01,230.0,244.75,202.54,43179810816.0,219.8556,225.56485,736131.0,1100839.0,NYSE,229.02,232.5,3.872,59.22521,2021-12-01T10:59:00.000+0000,188295006.0,1638176240
SUMR,SUMR,"Summer Infant, Inc.",11.52,-3.274554,-0.3899994,11.33,12.33,23.92,7.39,24937460.0,9.116,12.2082,9080.0,24336.0,NASDAQ,12.0,11.91,-0.715,,2021-11-10T16:15:01.000+0000,2164710.0,1638176240
SUY1V.HE,SUY1V.HE,Suominen Oyj,4.79,-0.10427767,-0.00500011,4.75,4.795,6.41,4.25,275476256.0,4.7017,5.383925,6090.0,42871.0,HEL,4.75,4.795,0.43,11.139535,2022-02-03T02:30:00.000+0000,57510701.0,1638176240
SVFAU,SVFAU,SVF Investment Corp.,10.44,-0.38167903,-0.03999996,10.35,10.44,15.05,9.85,,10.16974,10.503695,12264.0,137092.0,NASDAQ,10.35,10.48,-0.04,,,,1638176240
SVRA,SVRA,Savara Inc.,1.15,-3.361351,-0.04000008,1.1218,1.17,3.58,1.06,130949344.0,1.2337,1.5412,210781.0,397603.0,NASDAQ,1.15,1.19,-0.41,,2021-11-12T08:05:00.000+0000,113868995.0,1638176240
SWCH,SWCH,"Switch, Inc.",26.81,-0.7772057,-0.21000099,26.72,27.45,27.87,13.38,3852007168.0,25.4816,21.28445,1596874.0,1962074.0,NYSE,27.06,27.02,0.174,154.08046,2021-11-04T16:30:09.000+0000,143678000.0,1638176240
SWN,SWN,Southwestern Energy Company,4.96,-0.20120226,-0.00999975,4.72,4.97,5.96,2.73,5034300928.0,5.1174,4.84325,14968481.0,19340526.0,NYSE,4.74,4.97,-3.562,,2022-02-23T10:59:00.000+0000,1014980026.0,1638176240
SWX,SWX,"Southwest Gas Holdings, Inc.",69.25,-1.3954198,-0.98000336,68.04,69.645,73.54,57.0,4181668096.0,68.4372,68.4783,320271.0,540311.0,NYSE,68.73,70.23,4.019,17.230654,2022-02-23T10:59:00.000+0000,60385099.0,1638176240
SYNA,SYNA,Synaptics Incorporated,271.77,-2.2972443,-6.3900146,269.01,279.49,283.5,76.49,10672787456.0,207.5854,161.3288,383400.0,357863.0,NASDAQ,272.05,278.16,3.073,88.438,2022-02-02T21:00:00.000+0000,39271397.0,1638176240
T,T,AT&T Inc.,24.22,-1.0216591,-0.25,24.01,24.32,33.88,23.96,172955025408.0,25.7784,28.34295,28948706.0,41254812.0,NYSE,24.06,24.47,0.129,187.75194,2022-01-26T13:30:00.000+0000,7141000223.0,1638176240
TALO,TALO,Talos Energy Inc.,10.25,-6.648448,-0.72999954,9.66,10.26,18.93,7.67,839285440.0,12.4818,12.6654,1233151.0,980414.0,NYSE,10.0,10.98,-8.673,,2021-11-03T17:00:10.000+0000,81881506.0,1638176240
TANNL,TANNL,TravelCenters of America LLC SR NT,25.7771,-0.39760262,-0.10289955,25.76,25.7771,27.17,25.2,1019638976.0,26.46956,26.184635,302.0,7036.0,NASDAQ,25.76,25.88,0.717,35.951324,,39556000.0,1638176240
TAOFF,TAOFF,Hyperion Metals Limited,0.69,0.0,0.0,0.69,0.69,1.09,0.68,96660720.0,0.80848,0.86185074,1000.0,16998.0,PNK,0.69,0.69,-0.24,,,140088000.0,1638176240
TBBA,TBBA,"TEB Bancorp, Inc",9.28,0.0,0.0,9.28,9.28,9.99,6.41,24353874.0,9.3326,9.26854,15.0,1339.0,MUTUAL_FUND,9.28,9.28,1.99,4.6633162,,2624340.0,1638176240
TBNK,TBNK,Territorial Bancorp Inc.,26.11,-0.64688003,-0.17000008,26.07,26.38,30.04,22.2,243451216.0,25.5578,25.73125,3052.0,14215.0,NASDAQ,26.07,26.28,2.031,12.855737,2022-01-26T10:59:00.000+0000,9324060.0,1638176240
TCEHY,TCEHY,Tencent Holdings Limited,59.31,-1.1335227,-0.6800003,58.33,59.39,99.4,53.47,570283458560.0,61.2828,71.35245,4134208.0,6418787.0,PNK,58.9,59.99,3.039,19.516289,,9615300262.0,1638176240
TCMD,TCMD,"Tactile Systems Technology, Inc.",20.67,-5.443735,-1.1900005,20.31,21.6799,64.53,20.31,409741408.0,35.7894,46.9078,113403.0,223009.0,NASDAQ,22.09,21.86,0.397,52.06549,2022-02-21T21:00:00.000+0000,19823000.0,1638176240
TFII,TFII,TFI International Inc.,110.94,-0.76035285,-0.8499985,109.98,113.01,120.5,50.03,10529970176.0,109.587,95.69915,265566.0,223809.0,NYSE,110.28,111.79,5.618,19.747242,2022-02-07T10:59:00.000+0000,94915902.0,1638176240
TGH,TGH,Textainer Group Holdings Limited,33.68,-3.2183878,-1.1199989,32.81,33.8406,41.24,17.37,1658824192.0,36.6478,31.5776,419348.0,463549.0,NYSE,33.45,34.8,4.82,6.9875517,2022-02-15T10:59:00.000+0000,49252500.0,1638176240
TGLS,TGLS,Tecnoglass Inc.,30.77,-7.1794896,-2.380001,29.6,32.4,34.9,5.48,1466953600.0,27.2686,19.2213,436104.0,294104.0,NASDAQ,32.29,33.15,1.404,21.915955,2021-11-08T13:30:00.000+0000,47674800.0,1638176240
THMA,THMA,Thimble Point Acquisition Corp.,9.93,-0.35122776,-0.03499985,9.7901,9.965,10.05,9.59,342585024.0,9.95688,9.873982,3029.0,200822.0,NASDAQ,9.7901,9.965,,,,34500002.0,1638176240
THMAW,THMAW,Thimble Point Acquisition Corp.,1.2,-3.2258034,-0.03999996,1.2,1.24,1.24,1.2,,0.0,0.0,580.0,0.0,NASDAQ,1.16,1.24,,,,,1638176240
TIKK,TIKK,Tel-Instrument Electronics Corp.,3.35,0.0,0.0,3.15,3.35,3.85,2.76,10907231.0,3.2552,3.31195,900.0,3539.0,MUTUAL_FUND,3.15,3.35,0.405,8.271605,2022-02-14T13:30:00.000+0000,3255890.0,1638176240
TIXT,TIXT,TELUS International (Cda) Inc.,33.78,-2.1720243,-0.75,33.73,34.75,39.91,26.92,9138333696.0,36.0682,31.82595,89638.0,241515.0,NYSE,34.14,34.53,0.247,136.76114,2022-02-21T10:59:00.000+0000,270524976.0,1638176240
TKLS,TKLS,"Trutankless, Inc.",1.17,-4.8780537,-0.06000006,1.145,1.24,2.72,0.57,15270137.0,1.259,1.19995,600.0,3243.0,MUTUAL_FUND,1.24,1.23,-0.776,,2020-06-03T20:00:00.000+0000,13051399.0,1638176240
TLRD,TLRD,,0.0144,-1.37,-0.0002,0.0144,0.015,0.015,0.0144,,,,22765.0,,,0.0146,0.0146,,,,,1638176240
TLT,TLT,iShares 20+ Year Treasury Bond ETF,150.53,2.5268977,3.7099915,148.67,150.68,160.53,133.19,16513140736.0,146.2404,143.61235,20064778.0,16220111.0,NASDAQ,148.83,146.82,-11.779,,,109699998.0,1638176240
TMHC,TMHC,Taylor Morrison Home Corporation,32.13,-2.2215445,-0.72999954,31.59,32.72,34.05,22.64,3948487936.0,29.1542,28.5632,646790.0,931331.0,NYSE,32.12,32.86,3.726,8.623189,2022-02-08T13:30:00.000+0000,122891003.0,1638176240
TNRG,TNRG,Thunder Energies Corporation,0.067,0.0,0.0,0.067,0.067,0.32,0.028,5114827.0,0.07222,0.11789,16700.0,6952.0,MUTUAL_FUND,0.07335,0.067,-0.038,,,76340701.0,1638176240
TOPS,TOPS,Top Ships Inc.,1.14,-2.5641003,-0.02999997,1.11,1.17,3.89,1.06,45408480.0,1.3764,1.6284,425972.0,823869.0,NASDAQ,1.17,1.17,-0.504,,2021-09-09T08:30:00.000+0000,39832000.0,1638176240
TOTS3.SA,TOTS3.SA,TOTVS S.A.,31.33,-3.2726135,-1.0599995,0.0,0.0,41.24,0.0,19051083776.0,34.6548,34.26595,0.0,4005731.0,EURONEXT,0.0,32.39,0.598,52.391304,2022-02-08T19:00:00.000+0000,608078001.0,1638176240
TPHS,TPHS,Trinity Place Holdings Inc.,1.91,0.0,0.0,1.87,1.91,3.04,1.18,67448784.0,2.001134,2.086067,44382.0,29831.0,AMEX,1.8819,1.91,-0.544,,,35313499.0,1638176240
TRI,TRI,Thomson Reuters Corporation,120.06,-1.4609314,-1.7799988,119.75,121.725,123.6,78.04,59302555648.0,117.1104,103.2385,203280.0,450488.0,NYSE,120.52,121.84,12.92,9.292569,2022-02-21T13:30:00.000+0000,493940993.0,1638176240
TRKA,TRKA,"Troika Media Group, Inc.",1.56,-0.6369496,-0.01000011,1.44,1.62,4.0,1.2,67973880.0,1.6644,2.100871,311776.0,2262449.0,NASDAQ,1.45,1.57,-0.661,,,43573000.0,1638176240
TSC,TSC,"TriState Capital Holdings, Inc.",29.79,-3.2792156,-1.0099983,29.47,29.97,31.24,14.75,987666624.0,25.8804,23.13005,141372.0,418858.0,NASDAQ,29.89,30.8,1.571,18.962444,2022-01-25T10:59:00.000+0000,33154301.0,1638176240
TXRH,TXRH,"Texas Roadhouse, Inc.",85.47,-3.6849186,-3.2699966,83.86,85.99,110.75,73.2,5952558080.0,91.1364,94.3647,910135.0,775231.0,NASDAQ,84.63,88.74,3.02,28.301325,2022-02-16T10:59:00.000+0000,69644999.0,1638176240
UBFO,UBFO,United Security Bancshares,7.9,-2.709357,-0.21999979,7.85,7.9599,8.92,6.66,134381376.0,7.9856,8.05005,5266.0,17003.0,NASDAQ,7.95,8.12,0.509,15.520629,2022-01-25T10:59:00.000+0000,17010301.0,1638176240
UBSI,UBSI,"United Bankshares, Inc.",36.22,-6.76962,-2.6299973,35.91,38.285,42.5,29.12,4679732736.0,36.7104,37.38905,471948.0,512906.0,NASDAQ,37.33,38.85,2.978,12.162526,2022-01-26T13:30:00.000+0000,129203002.0,1638176240
UFS,UFS,Domtar Corporation,55.48,0.03606285,0.02000046,55.46,55.49,55.49,29.07,2795032320.0,54.7896,49.78005,496359.0,382679.0,NYSE,55.46,55.46,0.437,126.95652,2022-02-10T13:30:00.000+0000,50379097.0,1638176240
USB-PP,USB-PP,U.S. Bancorp,26.22,-0.45558405,-0.12000084,26.11,26.28,28.88,26.11,82260000768.0,27.01165,27.608229,48574.0,32819.0,NYSE,26.25,26.34,4.983,5.2618904,,3137299800.0,1638176240
UVE,UVE,"Universal Insurance Holdings, Inc.",15.38,-2.0382147,-0.3199997,14.99,15.52,16.57,12.62,479357696.0,14.1174,14.14215,110752.0,127333.0,NYSE,15.52,15.7,1.629,9.441376,2022-02-23T10:59:00.000+0000,31167601.0,1638176240
UWMC,UWMC,UWM Holdings Corporation,7.03,1.2968321,0.09000015,6.8,7.035,14.38,5.41,11284345856.0,6.8632,7.78065,2183763.0,2916742.0,NYSE,6.84,6.94,14.48,0.48549727,2022-02-01T13:30:00.000+0000,1605170108.0,1638176240
VBHI,VBHI,"Verde Bio Holdings, Inc.",0.012,-6.614782,-0.00085,0.0115,0.0132,0.107,0.007,13974840.0,0.0157492,0.01478035,4838471.0,15702105.0,MUTUAL_FUND,0.0132,0.01285,-0.009,,,1164570000.0,1638176240
VCKA,VCKA,Vickers Vantage Corp. I,10.04,-0.1988117,-0.02000046,10.04,10.04,10.71,9.77,230920000.0,10.03258,9.961032,17.0,7055.0,NASDAQ,10.0447,10.06,-0.026,,2021-03-31T10:59:00.000+0000,23000000.0,1638176240
VCYT,VCYT,"Veracyte, Inc.",41.56,-1.539914,-0.6499977,40.76,43.39,86.03,32.87,2952551424.0,46.8362,46.02685,363313.0,495344.0,NASDAQ,41.78,42.21,-1.131,,2022-02-15T10:59:00.000+0000,71043105.0,1638176240
VELOW,VELOW,Velocity Acquisition Corp.,0.5911,-3.0983665,-0.01890004,0.5911,0.6001,0.6001,0.5911,,0.0,0.0,35410.0,0.0,NASDAQ,0.65,0.61,,,,,1638176240
VENV,VENV,Venture Vanadium Inc.,1.75,0.574712,0.00999999,1.73,1.75,4.0,0.1,97522648.0,2.5613945,2.376045,2594.0,104.0,MUTUAL_FUND,1.73,1.74,-0.001,,,55727227.0,1638176240
VHC,VHC,VirnetX Holding Corp,2.69,-4.609925,-0.12999988,2.6,2.85,8.24,2.6,191616496.0,3.918,4.64165,833538.0,263103.0,AMEX,2.85,2.82,-0.573,,2020-08-10T20:00:00.000+0000,71232898.0,1638176240
VIDE,VIDE,Video Display Corporation,1.11,0.0,0.0,1.11,1.11,3.1,1.0,6524902.0,1.0778,1.31,700.0,133.0,MUTUAL_FUND,1.11,1.11,0.198,5.6060605,,5878290.0,1638176240
VIV,VIV,Telefônica Brasil S.A.,9.03,0.0,0.0,8.925,9.05,9.43,7.46,15286343680.0,8.342,8.263,1668367.0,1448714.0,NYSE,9.0,9.03,0.522,17.29885,,1692839832.0,1638176240
VNTR,VNTR,Venator Materials PLC,2.85,-3.0612295,-0.09000015,2.73,2.88,5.85,2.34,304949984.0,3.0114,3.85485,148551.0,333165.0,NYSE,2.76,2.94,-1.392,,2022-02-22T13:30:00.000+0000,106999994.0,1638176240
VPG,VPG,"Vishay Precision Group, Inc.",34.9,-4.56658,-1.6699982,34.54,35.77,39.71,28.6,475550912.0,35.8594,34.6375,22228.0,41363.0,NYSE,35.77,36.57,1.05,33.2381,2022-02-15T13:30:00.000+0000,13626101.0,1638176240
VPV,VPV,Invesco Pennsylvania Value Municipal Income Trust,13.39,0.224556,0.0300007,13.32,13.39,13.8,12.39,319077024.0,13.3028,13.2378,12281.0,24811.0,NYSE,13.39,13.36,1.042,12.850287,,23829501.0,1638176240
VREX,VREX,Varex Imaging Corporation,29.47,-2.4172235,-0.73000145,29.18,30.05,30.56,15.65,1164065024.0,27.6908,25.88395,207426.0,355439.0,NASDAQ,29.635,30.2,0.43,68.53488,2022-02-02T21:00:00.000+0000,39500001.0,1638176240
VRTB,VRTB,"Vestin Realty Mortgage II, Inc.",1549.99,0.0,0.0,1549.99,1549.99,2000.0,760.0,3622326.0,1549.9994,1402.8046,12.0,9.0,MUTUAL_FUND,1550.0,1549.99,,,,2337.0,1638176240
VVNT,VVNT,"Vivint Smart Home, Inc.",10.47,-5.248868,-0.5799999,10.1,10.86,25.1,8.18,2185382144.0,9.8568,12.6304,354992.0,549241.0,NYSE,10.75,11.05,-2.331,,2022-02-22T21:00:00.000+0000,208727998.0,1638176240
WAFD,WAFD,"Washington Federal, Inc.",32.99,-6.5174246,-2.2999992,32.63,34.485,36.84,23.29,2151729920.0,35.0202,32.9524,233933.0,449850.0,NASDAQ,33.88,35.29,2.39,13.803348,2022-01-12T21:00:00.000+0000,65223702.0,1638176240
WAYN,WAYN,"Wayne Savings Bancshares, Inc.",26.5,1.923077,0.5,26.0,26.5,27.0,20.56,63079804.0,25.9448,25.0053,413.0,331.0,MUTUAL_FUND,26.0,26.0,2.968,8.928572,2021-04-19T20:00:00.000+0000,2380370.0,1638176240
WBT,WBT,"Welbilt, Inc.",23.61,-0.169129,-0.03999901,23.52,23.66,25.19,9.3,3359585280.0,23.6284,21.56185,535486.0,927123.0,NYSE,23.6,23.65,0.541,43.641407,2022-02-25T13:30:00.000+0000,142295014.0,1638176240
WCFB,WCFB,"WCF Bancorp, Inc.",8.27,-3.6130474,-0.30999947,8.27,8.27,9.5,6.85,22413520.0,8.208848,8.341998,500.0,742.0,NASDAQ,8.27,8.58,0.09,91.88889,,2710220.0,1638176240
WCRS,WCRS,"Western Capital Resources, Inc.",7.9,0.0,0.0,7.9,7.9,8.3,5.63,71953592.0,7.846,7.1807737,1.0,755.0,MUTUAL_FUND,7.9,7.9,1.085,7.281106,2021-11-12T10:59:00.000+0000,9108050.0,1638176240
WFCF,WFCF,"Where Food Comes From, Inc.",15.225,-0.16393192,-0.02499962,15.1214,15.25,44.48,2.95,93022320.0,13.0792,14.0333,7299.0,10765.0,MUTUAL_FUND,15.25,15.25,0.451,33.758316,2022-02-16T13:30:00.000+0000,6109840.0,1638176240
